,wine,wine_notes,vintage
98,"Grifalco della Lucania Aglianico del Vulture Gricos
-","This bright and well-knit red is medium- to full-bodied, with pleasing tension and creamy tannins defining flavors of mulberry, herbed olive and salty mineral. Aromatic accents of wild sage and bergamot linger on the finish. Drink now through 2025. 4,500 cases made, 1,600 cases imported. —AN",2017
99,"Moric Burgenland Hausmarke
-","This combines power and grace, with a ripe profile and lively acidity. Flavors of cherry and currant harmonize with hints of loam, underbrush and hibiscus tea. Complex and fresh-tasting, but also firm, this red is intriguingly long and inviting. Blaufränkisch, Zweigelt and Pinot Noir. Drink now through 2026. 200 cases imported. —AZ",2017
0,"Bodegas Marqués de Murrieta Rioja Castillo Ygay Gran Reserva Especial
-","Maturing well, this round red is a lovely example of the traditional style. Orange peel, dried cherry, forest floor, vanilla and black tea flavors mingle harmoniously over round tannins and citrusy acidity. Generous but gentle, lively, balanced and harmonious. Tempranillo and Mazuelo. Drink now through 2030. 7,500 cases made, 680 cases imported. —TM",2010
1,"Aubert Pinot Noir Sonoma Coast UV Vineyard
-","Powerful and structured, with minerally richness to the fine-edged red fruit and savory spice flavors. The sleek finish offers impressive purity and clarity to the notes of hot stone, flint and underbrush. Best from 2021 through 2026. 993 cases made. —KM",2018
2,"San Filippo Brunello di Montalcino Le Lucére
-","Effusive aromas of black currant, blueberry, violet and iron mark this expressive red. Supple and harmonious, with a firm backbone of tannins that are refined and integrated. Shows terrific length and complexity. Best from 2023 through 2043. 1,300 cases made, 650 cases imported. —BS",2015
3,"Mayacamas Cabernet Sauvignon Mount Veeder
-","This distinctive red throws a lot of wild sage, herb and sassafras notes out first, while the core of intense red currant, damson plum and bitter cherry fruit waits its turn. The vibrant structure is built on acidity, pulling everything together through the iron-streaked finish. Should age wonderfully. Best from 2022 through 2040. 1,600 cases made. —JM",2016
4,"Domaine de la Vieille Julienne Châteauneuf-du-Pape Les Trois Sources
-","A lush, ripe style, with açaí berry, blueberry and plum reduction notes giving this a slightly exotic bent, while singed bay leaf, worn leather and warm tar accents keep this grounded in a slightly old-school way. Displays ample heft, yet energy ripples through the finish, accompanied by lingering garrigue and tobacco echoes. Best from 2022 through 2040. 2,000 cases made, 500 cases imported. —JM",2016
5,"Kistler Chardonnay Russian River Valley Vine Hill Vineyard
-","Complex, with crunchy acidity to the concentrated citrus and McIntosh apple flavors. Intense minerality shows midpalate, followed by a pure and powerful finish that lingers with dried savory herb and toasty hints. Best from 2022 through 2027. 1,979 cases made. —KM",2017
6,"Massolino Barolo
-","A stream of pure, juicy cherry fruit is at the heart of this red, along with mineral, tobacco and wild herb notes. Firm and tightly wound, with a matrix of dense, refined tannins for support. All the elements are in the right proportions, this just needs time. Best from 2023 through 2045. 5,800 cases made, 2,100 cases imported. —BS",2016
7,"Bodega Piedra Negra Chacayes Los Chacayes
-","Very elegant and rich, with concentrated kirsch, dark plum and cherry tart flavors, backed by medium-grained tannins and fresh acidity. Shows grip midpalate, leading to a finish that turns creamy and plush, primed with spicy richness and chocolate mousse accents. Malbec. Drink now through 2027. 3,000 cases made. —KM",2015
8,"Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard
-","A wine of presence and expression, impeccably structured yet elegantly layered, with evocative raspberry, rose petal and brown baking spice notes that pick up richness and tension toward fine-grained tannins. Drink now through 2029. 3,088 cases made. —TF",2018
9,"Bollinger Brut Champagne La Grande Année
-","This goes from zero to 60 right out of the gate, with an intense spine of acidity driving tightly meshed flavors of crushed black currant, ground coffee, candied grapefruit peel and toasted almond. The profile expands on the palate, carried by the fine, raw silk–like mousse. Richly aromatic and expressive from start to lasting, spiced finish. Disgorged July 2019. Drink now through 2037. 850 cases imported. —AN",2012
10,"Castello di Volpaia Chianti Classico Riserva
-","Enticing aromas of black cherry, black currant and violet are allied to flavors of iron, wet earth and spice in this red, which is loaded with fruit, vibrant acidity and well-mannered tannins. Shows terrific harmony now, yet possesses the structure to age. The long, mouthwatering finish extends the dark fruit and mineral elements. Best from 2021 through 2040. 6,000 cases made, 3,300 cases imported. —BS",2016
11,"Bodegas y Viñedos Valderiz Ribera del Duero
-","The dense, polished texture carries rich, harmonious flavors in this elegant red. Blackberry and currant notes mingle with espresso, mineral, licorice and spice accents. Lovely floral hints emerge on the long, clean finish. Beautifully sculpted. Drink now through 2030. 2,000 cases made, 657 cases imported. —TM",2016
12,"Tolaini Cabernet Sauvignon Toscana Legit
-","An impressive red of breadth and depth, featuring black cherry, plum, leather, earth, iron and cedar aromas and flavors. This is solidly built and well-balanced, with finely honed tannins and lively acidity providing backbone. Best from 2021 through 2040. 15,000 cases made, 2,500 cases imported. —BS",2016
13,"Felton Road Pinot Noir Central Otago Bannockburn
-","Aromatic and expressive, with raspberry, cherry and fresh herb notes that are precise on a smooth and supple frame, offering details of matcha green tea, white pepper and forest floor. A hint of fresh nutmeg lingers on the long, expressive finish, where the tannins provide a slight grip. Drink now through 2034. 5,372 cases made, 199 cases imported. —MW",2018
14,"Duckhorn Merlot Napa Valley Three Palms Vineyard
-","Powerful, rich and complex, with a refined mix of currant, dark cherry and plum tart flavors backed by suave, medium-grained tannins. Well-defined slate and loamy notes stretch out nicely on the finish, with black olive hints. Drink now through 2027. 4,678 cases made. —KM",2017
15,"Caprili Brunello di Montalcino
-","Offering cherry, plum, iron, earth and floral aromas and flavors, this is vibrant and beautifully balanced. Well-structured, with the harmony and concentration to develop. Best from 2023 through 2043. 4,000 cases made, 3,000 cases imported. —BS",2015
16,"Bodegas Godeval Valdeorras Viña Godeval Cepas Vellas
-","Firm and shapely, this white shows power and elegance. The polished texture carries lively flavors of grapefruit, quince, tarragon and flint. Electric acidity gives this energy. Harmonious and long. Drink now through 2026. 1,000 cases made, 600 cases imported. —TM",2018
17,"Hall Sauvignon Blanc Knights Valley
-","Stylish and memorable, this white strikes an ideal balance between richness and vibrancy, with a spicy, smoky note of palo santo and a juicy, crisp core of lemon curd, orange sherbet and dried apricot flavors. A touch of green tea lingers on the finish. Drink now through 2030. 1,225 cases made. —MW",2018
18,"Résonance Pinot Noir Willamette Valley
-","A wine with structure and presence, buoyed by a complex backbone of minerality, wrapped in refined dark cherry and black tea flavors and finishing with fine-grained tannins. Best from 2021 through 2029. 6,550 cases made. —TF",2017
19,"Caiarossa Toscana Pergolaia
-","Flavors of black cherry and blackberry stand up to the dense tannins in this fresh, deep and intense red, but this is equally about the vibrant acidity driving the fruit, wild herb nuances and spice-infused aftertaste. Sangiovese with Cabernet Franc, Cabernet Sauvignon and Merlot. Best from 2022 through 2040. 4,700 cases made, 1,200 cases imported. —BS",2016
20,"Joel Gott Sauvignon Blanc California
-","Lemon blossom, Asian pear, lime sherbet and candied orange peel notes are pure, fragrant and juicy in this silky white, with intensity and a lift of freshness on the finish from an accent of lemon verbena. Drink now. Tasted twice, with consistent notes. 98,000 cases made. —MW",2019
21,"Pierre Amadieu Gigondas Domaine Grand Romane
-","Ripe and juicy in feel, with a wound-up core of raspberry, black currant and cherry pâte de fruit flavors waiting to stretch out, while an undercurrent of alder, tobacco and licorice root notes moves through. Will be a winner when fully knit. Best from 2023 through 2035. 6,500 cases made, 1,000 cases imported. —JM",2017
22,"Allan Scott Sauvignon Blanc Marlborough
-","Supple and succulent, offering a generous and juicy mix of passion fruit, Key lime and ruby grapefruit flavors. Expressive and strong on the finish, with touches of freshly grated ginger and green tea. Drink now. 50,000 cases made, 16,000 cases imported. —MW",2020
23,"Produttori del Barbaresco Barbaresco Rabajà Riserva
-","Though rich, this red offers bright acidity and dense tannins that lend a sense of tightness, with pure cherry, strawberry and floral flavors that are persistent from start to lingering finish, where distinct spice and mineral elements play out. Best from 2023 through 2045. 1,342 cases made, 275 cases imported. —BS",2015
24,"Bodegas Montecillo Rioja Reserva
-","This plump red offers mulled cherry and plum flavors, with notes of cinnamon, sandalwood and cedar. Light tannins are well-integrated, while orange peel acidity keeps this fresh and focused. Harmonious and generous. Tempranillo, Mazuelo and Garnacha. Drink now through 2028. 26,500 cases made, 15,900 cases imported. —TM",2013
25,"Quivira Sauvignon Blanc Dry Creek Valley Fig Tree Vineyard
-","Verbena, beeswax and matcha green tea notes give way to a succulent, polished core of lemon curd, lanolin and quince flavors. Powerfully intense and focused, but the mouthwatering acidity keeps the flavors vivid, fresh and light-footed. Drink now. 1,310 cases made. —MW",2018
26,"Concha y Toro Cabernet Sauvignon Puente Alto Gravas del Maipo
-","Precise and powerful, with fleshy richness to the dark currant, cassis and black olive flavors, matched to dried savory accents. Mocha and dark chocolate details show on the long, richly spiced finish. Drink now through 2027. 1,500 cases made, 500 cases imported. —KM",2017
